Type,Original,BayesCentral,Argumentation,BetterBayesCentral,BetterArgumentation,BothOK,BothWrong
B,1,0,1,0,1,0,0
H,1,1,1,0,0,1,0
C,1,0,0,0,0,0,1
F,1,0,0,0,0,0,1
C,1,0,0,0,0,0,1
C,1,1,1,0,0,1,0
C,1,0,1,0,1,0,0
D,1,1,1,0,0,1,0
D,1,1,1,0,0,1,0
F,1,0,0,0,0,0,1
C,1,0,0,0,0,0,1
D,1,1,1,0,0,1,0
H,1,1,1,0,0,1,0
F,1,0,0,0,0,0,1
F,1,1,0,1,0,0,0
H,1,1,1,0,0,1,0
F,1,0,0,0,0,0,1
H,1,1,1,0,0,1,0
B,1,0,1,0,1,0,0
C,1,1,0,1,0,0,0
B,1,0,1,0,1,0,0
H,1,1,1,0,0,1,0
H,1,1,1,0,0,1,0
C,1,1,1,0,0,1,0
D,1,1,1,0,0,1,0
H,1,1,1,0,0,1,0
D,1,0,0,0,0,0,1
E,1,0,0,0,0,0,1
C,1,1,1,0,0,1,0
H,1,1,1,0,0,1,0
E,1,1,1,0,0,1,0
H,1,1,1,0,0,1,0
D,1,1,1,0,0,1,0
D,1,1,1,0,0,1,0
D,1,1,1,0,0,1,0
H,1,1,1,0,0,1,0
H,1,1,1,0,0,1,0
F,1,0,0,0,0,0,1
D,1,1,0,1,0,0,0
H,1,1,1,0,0,1,0
D,1,0,0,0,0,0,1
